season,day,home,away,homeGoals,awayGoals,winner
2022-23,2022-10-01T00:00:00Z,Southampton,Everton,1,2,A
2022-23,2022-10-01T00:00:00Z,West Ham,Wolves,2,0,H
2022-23,2022-10-02T00:00:00Z,Man City,Man United,6,3,H
2022-23,2022-10-02T00:00:00Z,Leeds,Aston Villa,0,0,D
2022-23,2022-10-03T00:00:00Z,Leicester,Nott'm Forest,4,0,H
2022-23,2022-10-08T00:00:00Z,Bournemouth,Leicester,2,1,H
2022-23,2022-10-08T00:00:00Z,Chelsea,Wolves,3,0,H
2022-23,2022-10-08T00:00:00Z,Man City,Southampton,4,0,H
2022-23,2022-10-08T00:00:00Z,Newcastle,Brentford,5,1,H
2022-23,2022-10-08T00:00:00Z,Brighton,Tottenham,0,1,A
2022-23,2022-10-09T00:00:00Z,Crystal Palace,Leeds,2,1,H
2022-23,2022-10-09T00:00:00Z,West Ham,Fulham,3,1,H
2022-23,2022-10-09T00:00:00Z,Arsenal,Liverpool,3,2,H
2022-23,2022-10-09T00:00:00Z,Everton,Man United,1,2,A
2022-23,2022-10-10T00:00:00Z,Nott'm Forest,Aston Villa,1,1,D
2022-23,2022-10-14T00:00:00Z,Brentford,Brighton,2,0,H
2022-23,2022-10-15T00:00:00Z,Leicester,Crystal Palace,0,0,D
2022-23,2022-10-15T00:00:00Z,Fulham,Bournemouth,2,2,D
2022-23,2022-10-15T00:00:00Z,Wolves,Nott'm Forest,1,0,H
2022-23,2022-10-15T00:00:00Z,Tottenham,Everton,2,0,H
2022-23,2022-10-16T00:00:00Z,Aston Villa,Chelsea,0,2,A
2022-23,2022-10-16T00:00:00Z,Leeds,Arsenal,0,1,A
2022-23,2022-10-16T00:00:00Z,Man United,Newcastle,0,0,D
2022-23,2022-10-16T00:00:00Z,Southampton,West Ham,1,1,D
2022-23,2022-10-16T00:00:00Z,Liverpool,Man City,1,0,H
2022-23,2022-10-18T00:00:00Z,Brighton,Nott'm Forest,0,0,D
2022-23,2022-10-18T00:00:00Z,Crystal Palace,Wolves,2,1,H
2022-23,2022-10-19T00:00:00Z,Bournemouth,Southampton,0,1,A
2022-23,2022-10-19T00:00:00Z,Brentford,Chelsea,0,0,D
2022-23,2022-10-19T00:00:00Z,Newcastle,Everton,1,0,H
2022-23,2022-10-19T00:00:00Z,Liverpool,West Ham,1,0,H
2022-23,2022-10-19T00:00:00Z,Man United,Tottenham,2,0,H
2022-23,2022-10-20T00:00:00Z,Fulham,Aston Villa,3,0,H
2022-23,2022-10-20T00:00:00Z,Leicester,Leeds,2,0,H
2022-23,2023-02-15T00:00:00Z,Arsenal,Man City,1,3,A
2022-23,2022-10-22T00:00:00Z,Nott'm Forest,Liverpool,1,0,H
2022-23,2022-10-22T00:00:00Z,Everton,Crystal Palace,3,0,H
2022-23,2022-10-22T00:00:00Z,Man City,Brighton,3,1,H
2022-23,2022-10-22T00:00:00Z,Chelsea,Man United,1,1,D
2022-23,2022-10-23T00:00:00Z,Aston Villa,Brentford,4,0,H
2022-23,2022-10-23T00:00:00Z,Leeds,Fulham,2,3,A
2022-23,2022-10-23T00:00:00Z,Southampton,Arsenal,1,1,D
2022-23,2022-10-23T00:00:00Z,Wolves,Leicester,0,4,A
2022-23,2022-10-23T00:00:00Z,Tottenham,Newcastle,1,2,A
2022-23,2022-10-24T00:00:00Z,West Ham,Bournemouth,2,0,H
2022-23,2022-10-29T00:00:00Z,Leicester,Man City,0,1,A
2022-23,2022-10-29T00:00:00Z,Bournemouth,Tottenham,2,3,A
2022-23,2022-10-29T00:00:00Z,Brentford,Wolves,1,1,D
2022-23,2022-10-29T00:00:00Z,Brighton,Chelsea,4,1,H
2022-23,2022-10-29T00:00:00Z,Crystal Palace,Southampton,1,0,H
2022-23,2022-10-29T00:00:00Z,Newcastle,Aston Villa,4,0,H
2022-23,2022-10-29T00:00:00Z,Fulham,Everton,0,0,D
2022-23,2022-10-29T00:00:00Z,Liverpool,Leeds,1,2,A
2022-23,2022-10-30T00:00:00Z,Arsenal,Nott'm Forest,5,0,H
2022-23,2022-10-30T00:00:00Z,Man United,West Ham,1,0,H
2022-23,2022-11-05T00:00:00Z,Leeds,Bournemouth,4,3,H
2022-23,2022-11-05T00:00:00Z,Man City,Fulham,2,1,H
2022-23,2022-11-05T00:00:00Z,Nott'm Forest,Brentford,2,2,D
2022-23,2022-11-05T00:00:00Z,Wolves,Brighton,2,3,A
2022-23,2022-11-05T00:00:00Z,Everton,Leicester,0,2,A
2022-23,2022-11-06T00:00:00Z,Chelsea,Arsenal,0,1,A
2022-23,2022-11-06T00:00:00Z,Aston Villa,Man United,3,1,H
2022-23,2022-11-06T00:00:00Z,Southampton,Newcastle,1,4,A
2022-23,2022-11-06T00:00:00Z,West Ham,Crystal Palace,1,2,A
2022-23,2022-11-06T00:00:00Z,Tottenham,Liverpool,1,2,A
2022-23,2022-11-12T00:00:00Z,Man City,Brentford,1,2,A
2022-23,2022-11-12T00:00:00Z,Bournemouth,Everton,3,0,H
2022-23,2022-11-12T00:00:00Z,Liverpool,Southampton,3,1,H
2022-23,2022-11-12T00:00:00Z,Nott'm Forest,Crystal Palace,1,0,H
2022-23,2022-11-12T00:00:00Z,Tottenham,Leeds,4,3,H
2022-23,2022-11-12T00:00:00Z,West Ham,Leicester,0,2,A
2022-23,2022-11-12T00:00:00Z,Newcastle,Chelsea,1,0,H
2022-23,2022-11-12T00:00:00Z,Wolves,Arsenal,0,2,A
2022-23,2022-11-13T00:00:00Z,Brighton,Aston Villa,1,2,A
2022-23,2022-11-13T00:00:00Z,Fulham,Man United,1,2,A
2022-23,2022-12-26T00:00:00Z,Brentford,Tottenham,2,2,D
2022-23,2022-12-26T00:00:00Z,Crystal Palace,Fulham,0,3,A
2022-23,2022-12-26T00:00:00Z,Everton,Wolves,1,2,A
2022-23,2022-12-26T00:00:00Z,Leicester,Newcastle,0,3,A
2022-23,2022-12-26T00:00:00Z,Southampton,Brighton,1,3,A
2022-23,2022-12-26T00:00:00Z,Aston Villa,Liverpool,1,3,A
2022-23,2022-12-26T00:00:00Z,Arsenal,West Ham,3,1,H
2022-23,2022-12-27T00:00:00Z,Chelsea,Bournemouth,2,0,H
2022-23,2022-12-27T00:00:00Z,Man United,Nott'm Forest,3,0,H
2022-23,2022-12-28T00:00:00Z,Leeds,Man City,1,3,A
2022-23,2022-12-30T00:00:00Z,West Ham,Brentford,0,2,A
2022-23,2022-12-30T00:00:00Z,Liverpool,Leicester,2,1,H
2022-23,2022-12-31T00:00:00Z,Wolves,Man United,0,1,A
2022-23,2022-12-31T00:00:00Z,Bournemouth,Crystal Palace,0,2,A
2022-23,2022-12-31T00:00:00Z,Fulham,Southampton,2,1,H
2022-23,2022-12-31T00:00:00Z,Man City,Everton,1,1,D
2022-23,2022-12-31T00:00:00Z,Newcastle,Leeds,0,0,D
2022-23,2022-12-31T00:00:00Z,Brighton,Arsenal,2,4,A
2022-23,2023-01-01T00:00:00Z,Tottenham,Aston Villa,0,2,A
2022-23,2023-01-01T00:00:00Z,Nott'm Forest,Chelsea,1,1,D
2022-23,2023-01-02T00:00:00Z,Brentford,Liverpool,3,1,H
2022-23,2023-01-03T00:00:00Z,Arsenal,Newcastle,0,0,D
2022-23,2023-01-03T00:00:00Z,Everton,Brighton,1,4,A
2022-23,2023-01-03T00:00:00Z,Leicester,Fulham,0,1,A
2022-23,2023-01-03T00:00:00Z,Man United,Bournemouth,3,0,H
2022-23,2023-01-04T00:00:00Z,Southampton,Nott'm Forest,0,1,A
2022-23,2023-01-04T00:00:00Z,Leeds,West Ham,2,2,D
2022-23,2023-01-04T00:00:00Z,Aston Villa,Wolves,1,1,D
2022-23,2023-01-04T00:00:00Z,Crystal Palace,Tottenham,0,4,A
2022-23,2023-01-05T00:00:00Z,Chelsea,Man City,0,1,A
2022-23,2023-01-13T00:00:00Z,Aston Villa,Leeds,2,1,H
2022-23,2023-01-14T00:00:00Z,Man United,Man City,2,1,H
2022-23,2023-01-14T00:00:00Z,Brighton,Liverpool,3,0,H
2022-23,2023-01-14T00:00:00Z,Everton,Southampton,1,2,A
2022-23,2023-01-14T00:00:00Z,Nott'm Forest,Leicester,2,0,H
2022-23,2023-01-14T00:00:00Z,Wolves,West Ham,1,0,H
2022-23,2023-01-14T00:00:00Z,Brentford,Bournemouth,2,0,H
2022-23,2023-01-15T00:00:00Z,Chelsea,Crystal Palace,1,0,H
2022-23,2023-01-15T00:00:00Z,Newcastle,Fulham,1,0,H
2022-23,2023-01-15T00:00:00Z,Tottenham,Arsenal,0,2,A
2022-23,2023-01-21T00:00:00Z,Liverpool,Chelsea,0,0,D
2022-23,2023-01-21T00:00:00Z,Bournemouth,Nott'm Forest,1,1,D
2022-23,2023-01-21T00:00:00Z,Leicester,Brighton,2,2,D
2022-23,2023-01-21T00:00:00Z,Southampton,Aston Villa,0,1,A
2022-23,2023-01-21T00:00:00Z,West Ham,Everton,2,0,H
2022-23,2023-01-21T00:00:00Z,Crystal Palace,Newcastle,0,0,D
2022-23,2023-01-22T00:00:00Z,Leeds,Brentford,0,0,D
2022-23,2023-01-22T00:00:00Z,Man City,Wolves,3,0,H
2022-23,2023-01-22T00:00:00Z,Arsenal,Man United,3,2,H
2022-23,2023-01-23T00:00:00Z,Fulham,Tottenham,0,1,A
2022-23,2023-02-03T00:00:00Z,Chelsea,Fulham,0,0,D
2022-23,2023-02-04T00:00:00Z,Everton,Arsenal,1,0,H
2022-23,2023-02-04T00:00:00Z,Aston Villa,Leicester,2,4,A
2022-23,2023-02-04T00:00:00Z,Brentford,Southampton,3,0,H
2022-23,2023-02-04T00:00:00Z,Brighton,Bournemouth,1,0,H
2022-23,2023-02-04T00:00:00Z,Man United,Crystal Palace,2,1,H
2022-23,2023-02-04T00:00:00Z,Wolves,Liverpool,3,0,H
2022-23,2023-02-04T00:00:00Z,Newcastle,West Ham,1,1,D
2022-23,2023-02-05T00:00:00Z,Nott'm Forest,Leeds,1,0,H
2022-23,2023-02-05T00:00:00Z,Tottenham,Man City,1,0,H
2022-23,2023-02-11T00:00:00Z,West Ham,Chelsea,1,1,D
2022-23,2023-02-11T00:00:00Z,Arsenal,Brentford,1,1,D
2022-23,2023-02-11T00:00:00Z,Crystal Palace,Brighton,1,1,D
2022-23,2023-02-11T00:00:00Z,Fulham,Nott'm Forest,2,0,H
2022-23,2023-02-11T00:00:00Z,Leicester,Tottenham,4,1,H
2022-23,2023-02-11T00:00:00Z,Southampton,Wolves,1,2,A
2022-23,2023-02-11T00:00:00Z,Bournemouth,Newcastle,1,1,D
2022-23,2023-02-12T00:00:00Z,Leeds,Man United,0,2,A
2022-23,2023-02-12T00:00:00Z,Man City,Aston Villa,3,1,H
2022-23,2023-02-13T00:00:00Z,Liverpool,Everton,2,0,H
2022-23,2023-02-18T00:00:00Z,Aston Villa,Arsenal,2,4,A
2022-23,2023-02-18T00:00:00Z,Brentford,Crystal Palace,1,1,D
2022-23,2023-02-18T00:00:00Z,Brighton,Fulham,0,1,A
2022-23,2023-02-18T00:00:00Z,Chelsea,Southampton,0,1,A
2022-23,2023-02-18T00:00:00Z,Everton,Leeds,1,0,H
2022-23,2023-02-18T00:00:00Z,Nott'm Forest,Man City,1,1,D
2022-23,2023-02-18T00:00:00Z,Wolves,Bournemouth,0,1,A
2022-23,2023-02-18T00:00:00Z,Newcastle,Liverpool,0,2,A
2022-23,2023-02-19T00:00:00Z,Man United,Leicester,3,0,H
2022-23,2023-02-19T00:00:00Z,Tottenham,West Ham,2,0,H
2022-23,2023-02-24T00:00:00Z,Fulham,Wolves,1,1,D
2022-23,2023-02-25T00:00:00Z,Everton,Aston Villa,0,2,A
2022-23,2023-02-25T00:00:00Z,Leeds,Southampton,1,0,H
2022-23,2023-02-25T00:00:00Z,Leicester,Arsenal,0,1,A
2022-23,2023-02-25T00:00:00Z,West Ham,Nott'm Forest,4,0,H
2022-23,2023-02-25T00:00:00Z,Bournemouth,Man City,1,4,A
2022-23,2023-02-25T00:00:00Z,Crystal Palace,Liverpool,0,0,D
2022-23,2023-02-26T00:00:00Z,Tottenham,Chelsea,2,0,H
2022-23,2023-04-05T00:00:00Z,Man United,Brentford,1,0,H
2022-23,2023-05-18T00:00:00Z,Newcastle,Brighton,4,1,H
2022-23,2023-03-04T00:00:00Z,Man City,Newcastle,2,0,H
2022-23,2023-03-04T00:00:00Z,Arsenal,Bournemouth,3,2,H
2022-23,2023-03-04T00:00:00Z,Aston Villa,Crystal Palace,1,0,H
2022-23,2023-03-04T00:00:00Z,Brighton,West Ham,4,0,H
2022-23,2023-03-04T00:00:00Z,Chelsea,Leeds,1,0,H
2022-23,2023-03-04T00:00:00Z,Wolves,Tottenham,1,0,H
2022-23,2023-03-04T00:00:00Z,Southampton,Leicester,1,0,H
2022-23,2023-03-05T00:00:00Z,Nott'm Forest,Everton,2,2,D
2022-23,2023-03-05T00:00:00Z,Liverpool,Man United,7,0,H
2022-23,2023-03-06T00:00:00Z,Brentford,Fulham,3,2,H
2022-23,2023-03-11T00:00:00Z,Bournemouth,Liverpool,1,0,H
2022-23,2023-03-11T00:00:00Z,Everton,Brentford,1,0,H
2022-23,2023-03-11T00:00:00Z,Leeds,Brighton,2,2,D
2022-23,2023-03-11T00:00:00Z,Leicester,Chelsea,1,3,A
2022-23,2023-03-11T00:00:00Z,Tottenham,Nott'm Forest,3,1,H
2022-23,2023-03-11T00:00:00Z,Crystal Palace,Man City,0,1,A
2022-23,2023-03-12T00:00:00Z,Fulham,Arsenal,0,3,A
2022-23,2023-03-12T00:00:00Z,Man United,Southampton,0,0,D
2022-23,2023-03-12T00:00:00Z,West Ham,Aston Villa,1,1,D
2022-23,2023-03-12T00:00:00Z,Newcastle,Wolves,2,1,H
2022-23,2023-03-17T00:00:00Z,Nott'm Forest,Newcastle,1,2,A
2022-23,2023-03-18T00:00:00Z,Aston Villa,Bournemouth,3,0,H
2022-23,2023-03-18T00:00:00Z,Brentford,Leicester,1,1,D
2022-23,2023-03-18T00:00:00Z,Southampton,Tottenham,3,3,D
2022-23,2023-03-18T00:00:00Z,Wolves,Leeds,2,4,A
2022-23,2023-03-18T00:00:00Z,Chelsea,Everton,2,2,D
2022-23,2023-03-19T00:00:00Z,Arsenal,Crystal Palace,4,1,H
2022-23,2023-05-03T00:00:00Z,Liverpool,Fulham,1,0,H
2022-23,2023-05-03T00:00:00Z,Man City,West Ham,3,0,H
2022-23,2023-05-04T00:00:00Z,Brighton,Man United,1,0,H
2022-23,2023-04-01T00:00:00Z,Man City,Liverpool,4,1,H
2022-23,2023-04-01T00:00:00Z,Bournemouth,Fulham,2,1,H
2022-23,2023-04-01T00:00:00Z,Arsenal,Leeds,4,1,H
2022-23,2023-04-01T00:00:00Z,Brighton,Brentford,3,3,D
2022-23,2023-04-01T00:00:00Z,Crystal Palace,Leicester,2,1,H
2022-23,2023-04-01T00:00:00Z,Nott'm Forest,Wolves,1,1,D
2022-23,2023-04-01T00:00:00Z,Chelsea,Aston Villa,0,2,A
2022-23,2023-04-02T00:00:00Z,West Ham,Southampton,1,0,H
2022-23,2023-04-02T00:00:00Z,Newcastle,Man United,2,0,H
2022-23,2023-04-03T00:00:00Z,Everton,Tottenham,1,1,D
2022-23,2023-04-08T00:00:00Z,Man United,Everton,2,0,H
2022-23,2023-04-08T00:00:00Z,Aston Villa,Nott'm Forest,2,0,H
2022-23,2023-04-08T00:00:00Z,Brentford,Newcastle,1,2,A
2022-23,2023-04-08T00:00:00Z,Fulham,West Ham,0,1,A
2022-23,2023-04-08T00:00:00Z,Leicester,Bournemouth,0,1,A
